sheet,at-type,102,103,101,charge
O,ao,4.0,3.0,4.0,1.575
O,cao,0.0,0.0,0.0,1.36
O,fe2,0.0,0.0,0.0,1.36
O,feo,0.0,0.0,0.0,1.575
O,lio,0.0,0.0,0.0,0.525
O,mgo,0.0,1.0,0.0,1.36
T,at,1.0,0.0,0.0,1.575
T,fet,0.0,0.0,0.0,1.575
T,st,3.0,4.0,4.0,2.1
X,HW,0.0,0.0,0.0,0.41
X,OW,0.0,0.0,0.0,-0.82
X,cah,0.0,0.0,0.0,1.05
X,ho,8.0,8.0,8.0,0.425
X,hw,0.0,0.0,0.0,0.41
X,mgh,0.0,0.0,0.0,1.05
X,ob,6.0,8.0,10.0,-1.05
X,obos,0.0,2.0,0.0,-1.1808
X,obss,0.0,0.0,0.0,-1.2996
X,obts,4.0,0.0,0.0,-1.1688
X,oh,8.0,4.0,8.0,-0.95
X,ohs,0.0,4.0,0.0,-1.0808
X,ohx,0.0,0.0,0.0,-0.9742
X,ow,0.0,0.0,0.0,-0.82
X,ox,0.0,0.0,0.0,-1.2825
X,oxos,0.0,0.0,0.0,-1.31
